time,ax,ay,az,aT
0.005,0.01,-0.04,-0.04,0.06
0.005,0.02,-0.07,-0.18,0.20
0.006,0.04,-0.10,-0.31,0.33
0.006,0.03,-0.11,-0.43,0.44
0.007,-0.06,-0.11,-0.55,0.56
0.007,-0.10,-0.12,-0.58,0.60
0.012,-0.08,-0.13,-0.66,0.68
0.017,-0.08,-0.11,-0.71,0.72
0.024,-0.14,-0.14,-0.72,0.75
0.027,-0.20,-0.11,-0.67,0.71
0.032,-0.15,-0.08,-0.63,0.65
0.037,-0.15,-0.09,-0.55,0.58
0.043,-0.14,-0.13,-0.56,0.59
0.047,-0.09,-0.10,-0.52,0.53
0.052,-0.06,-0.07,-0.46,0.47
0.059,-0.06,-0.05,-0.41,0.42
0.064,-0.01,-0.12,-0.41,0.42
0.069,0.03,-0.16,-0.33,0.37
0.074,-0.01,-0.18,-0.32,0.36
0.079,-0.01,-0.14,-0.22,0.26
0.085,0.01,-0.15,-0.14,0.20
0.090,-0.09,-0.13,-0.09,0.18
0.095,-0.08,-0.07,0.05,0.12
0.100,-0.10,-0.03,0.23,0.25
0.108,-0.10,-0.04,0.15,0.18
0.110,-0.05,-0.04,0.05,0.08
0.114,-0.05,-0.03,-0.07,0.09
0.119,-0.06,-0.00,-0.07,0.09
0.127,-0.02,-0.01,0.03,0.03
0.130,-0.06,-0.00,-0.02,0.06
0.135,-0.03,-0.03,-0.00,0.04
0.140,-0.12,-0.02,-0.04,0.13
0.144,-0.01,0.05,0.07,0.09
0.150,-0.04,-0.03,0.10,0.11
0.155,-0.01,-0.04,0.01,0.04
0.160,-0.03,-0.04,0.01,0.05
0.165,-0.12,-0.04,0.08,0.15
0.169,-0.11,-0.07,0.08,0.15
0.176,-0.22,0.01,-0.01,0.22
0.180,-0.21,0.01,-0.09,0.23
0.184,-0.22,0.00,-0.22,0.31
0.191,-0.17,0.06,-0.44,0.47
0.196,-0.23,0.05,-0.43,0.49
0.196,-0.32,0.02,-0.35,0.47
0.200,-0.35,0.00,-0.33,0.48
0.207,-0.34,-0.01,-0.42,0.53
0.211,-0.25,0.00,-0.53,0.58
0.216,-0.13,-0.00,-0.62,0.64
0.221,-0.06,-0.03,-0.65,0.65
0.226,-0.05,-0.08,-0.64,0.64
0.231,0.07,-0.15,-0.60,0.62
0.235,0.05,-0.18,-0.46,0.50
0.241,-0.04,-0.18,-0.31,0.36
0.246,-0.05,-0.20,-0.17,0.27
0.250,-0.05,-0.14,-0.06,0.16
0.256,0.02,-0.13,0.08,0.15
0.261,0.05,-0.19,0.21,0.29
0.266,0.08,-0.22,0.33,0.41
0.276,0.00,-0.27,0.32,0.42
0.277,-0.06,-0.32,0.18,0.37
0.281,-0.01,-0.30,-0.03,0.30
0.286,-0.01,-0.24,-0.25,0.35
0.291,0.05,-0.19,-0.41,0.45
0.296,0.06,-0.14,-0.49,0.52
0.301,-0.04,-0.11,-0.57,0.59
0.307,-0.14,-0.09,-0.56,0.58
0.312,-0.17,-0.06,-0.52,0.55
0.316,-0.19,-0.06,-0.47,0.51
0.322,-0.13,-0.06,-0.39,0.42
0.327,-0.09,-0.05,-0.33,0.35
0.332,-0.07,-0.04,-0.28,0.29
0.337,-0.00,-0.04,-0.23,0.23
0.342,0.01,-0.05,-0.19,0.20
0.347,0.02,-0.08,-0.17,0.19
0.351,0.09,-0.11,-0.20,0.24
0.357,0.10,-0.09,-0.24,0.27
0.362,0.09,-0.07,-0.19,0.22
0.367,0.01,-0.04,-0.11,0.12
0.373,-0.07,-0.00,-0.17,0.18
0.377,-0.08,0.04,-0.30,0.31
0.383,-0.09,0.09,-0.42,0.44
0.394,-0.11,0.18,-0.49,0.54
0.395,-0.13,0.25,-0.51,0.59
0.397,-0.10,0.27,-0.56,0.63
0.404,-0.08,0.22,-0.54,0.59
0.408,-0.06,0.15,-0.52,0.55
0.412,0.02,0.13,-0.50,0.52
0.417,0.09,0.15,-0.42,0.45
0.423,0.15,0.14,-0.42,0.47
0.427,0.16,0.15,-0.53,0.57
0.433,0.18,0.14,-0.69,0.73
0.438,0.08,0.07,-0.85,0.85
0.443,-0.04,-0.00,-0.92,0.92
0.448,-0.01,-0.07,-1.05,1.05
0.454,0.09,-0.12,-1.32,1.33
0.458,0.13,-0.10,-1.32,1.33
0.463,-0.09,-0.05,-1.32,1.32
0.468,-0.31,-0.01,-1.25,1.29
0.473,-0.47,0.02,-1.08,1.17
0.478,-0.25,-0.13,-0.90,0.95
0.483,-0.19,-0.17,-1.14,1.17
0.489,-0.12,-0.09,-1.03,1.04
0.493,0.08,-0.06,-1.09,1.09
0.498,0.43,-0.08,-1.31,1.38
0.511,0.64,-0.12,-1.73,1.85
0.511,0.80,-0.11,-1.83,2.00
0.513,0.58,-0.11,-1.76,1.86
0.519,0.17,-0.11,-1.51,1.52
0.523,-0.35,-0.08,-0.91,0.97
0.529,-0.73,0.01,-0.17,0.75
0.533,-0.75,0.07,0.14,0.77
0.540,-0.69,0.09,0.19,0.72
0.543,-0.61,0.05,0.14,0.62
0.549,-0.52,-0.05,0.11,0.53
0.555,-0.54,-0.13,0.02,0.55
0.559,-0.40,-0.13,-0.19,0.46
0.564,-0.30,-0.11,-0.28,0.42
0.570,0.02,-0.02,-0.37,0.37
0.574,0.02,-0.02,-0.42,0.42
0.579,-0.08,0.12,-0.48,0.50
0.583,-0.28,0.13,-0.24,0.39
0.589,-0.32,0.18,-0.20,0.42
0.595,-0.31,0.18,0.01,0.35
0.600,-0.30,0.20,0.12,0.38
0.604,-0.34,0.20,-0.05,0.40
0.609,-0.33,0.10,-0.19,0.40
0.615,-0.18,0.03,-0.37,0.41
0.622,0.87,-0.23,-1.44,1.70
0.625,0.82,-0.15,-1.17,1.44
0.630,0.61,-0.14,-1.01,1.19
0.643,0.60,-0.69,-0.13,0.92
0.643,-0.00,-0.22,-0.03,0.22
0.645,-0.65,-0.00,-0.25,0.69
0.650,-1.00,-0.07,-0.25,1.04
0.657,-1.05,-0.09,-0.18,1.07
0.660,-1.16,-0.14,-0.25,1.19
0.665,-1.38,-0.24,-0.14,1.40
0.666,-1.41,-0.20,0.06,1.42
0.671,-1.43,-0.15,0.34,1.48
0.675,-1.14,-0.02,0.50,1.24
0.680,-0.80,0.14,0.57,0.99
0.686,-0.38,0.27,0.49,0.67
0.695,-0.28,0.33,0.31,0.53
0.696,-0.37,0.26,-0.14,0.47
0.702,-0.48,0.17,-0.33,0.61
0.706,-0.56,0.13,-0.70,0.91
0.711,-0.36,0.16,-1.14,1.21
0.715,-0.47,-0.12,-1.63,1.70
0.721,-0.49,-0.36,-1.87,1.97
0.726,-0.40,-0.47,-1.97,2.07
0.731,-0.46,-0.47,-1.96,2.06
0.736,-0.77,-0.31,-1.89,2.06
0.741,-1.07,-0.13,-1.83,2.13
0.746,-1.17,-0.10,-1.67,2.04
0.751,-1.16,-0.16,-1.38,1.81
0.757,-0.99,-0.29,-0.98,1.42
0.761,-0.73,-0.42,-0.46,0.96
0.766,-0.67,-0.55,-0.04,0.87
0.772,-0.67,-0.64,0.26,0.96
0.776,-0.54,-0.73,0.58,1.08
0.781,-0.31,-0.81,0.83,1.20
0.788,-0.15,-0.87,0.97,1.31
0.793,-0.05,-0.87,1.06,1.37
0.797,0.05,-0.78,1.07,1.32
